x_center,count,phi
-0.8202795347282396,3657,0.043303912409423995
-0.5676699856267625,3656,0.04223219152745406
-0.4531821988193411,3656,0.045068671297443574
-0.3819564641042209,3656,0.04666612150075061
-0.3307240721611282,3657,0.04992038742091318
-0.2922512131017939,3656,0.047617106028851316
-0.26183883755064086,3656,0.05134927176063646
-0.23693940625640494,3656,0.05350419634924093
-0.216030104155098,3657,0.054226117127273765
-0.19786000983546997,3656,0.055843878418502475
-0.1818777447771322,3656,0.059748660687273344
-0.16805776771441022,3656,0.056853855310536945
-0.15593869760982942,3657,0.06341279777998142
-0.144951683813823,3656,0.06312499070574273
-0.13483369474930593,3656,0.06387549857900159
-0.12576907379661229,3656,0.06512640487897235
-0.11753419209025018,3657,0.06723537981923283
-0.10979983204863174,3656,0.07106388353985933
-0.10261419841791133,3656,0.07010913357215307
-0.09605157906446801,3656,0.07304419532702151
-0.08996832147463772,3656,0.07718254762839881
-0.08436274878805432,3657,0.07604635181699802
-0.07925057617183603,3656,0.08357028496158922
-0.0744493862124134,3656,0.09415525411063312
-0.06985627865378445,3656,0.0836203626152947
-0.06545568360787771,3657,0.08954994316173888
-0.06125067522315793,3656,0.09143836929424091
-0.05730002624343266,3656,0.08938638701491688
-0.05362173240378195,3656,0.09985199980704339
-0.050184090423832026,3657,0.10181698036470353
-0.04685607236512322,3656,0.10679330608826623
-0.04363759790684446,3656,0.10487972746601928
-0.04058798068234338,3656,0.12275409650085
-0.03768667233903337,3657,0.11943607597846174
-0.03491261520729186,3656,0.11889997980871538
-0.03225348198660568,3656,0.13008561058384888
-0.029682747506146787,3656,0.13052156905744539
-0.02717606448955149,3657,0.1265716976390434
-0.024781139835181754,3656,0.13580833105900592
-0.022504411461431603,3656,0.14259241350828633
-0.020267045385669247,3656,0.16127251328746045
-0.018092503707466262,3656,0.1506175253251193
-0.015962745093516636,3657,0.1897199732899659
-0.013884083425510346,3656,0.1807217799131907
-0.011875023416482205,3656,0.2093224580149251
-0.009877952103013293,3656,0.20612072301199835
-0.007928150384254274,3657,0.24337214556943107
-0.00597637837383137,3656,0.26185244660337437
-0.0039576925339205446,3656,0.25964216732673845
-0.001879724952701009,3656,0.3629768600245504
0.0002893301001915167,3657,0.28246092873580164
0.0026363920892845303,3656,0.1756308736884595
0.005181660818734717,3656,0.1342760800213395
0.007946879389058312,3656,0.10343931120655069
0.010988181396014016,3657,0.08964616803502536
0.014333192962063828,3656,0.07658162288345836
0.01796998924137349,3656,0.07065177953588578
0.02195248046005055,3656,0.05685392240548331
0.026292596523003427,3657,0.05719247135390041
0.031000173581041037,3656,0.049366651758417916
0.03624188249215715,3656,0.04526007134163403
0.0420892047459362,3656,0.04129561402962365
0.04861529973423594,3656,0.03856796427469141
0.055827440192914364,3657,0.03322374616508169
0.06377317508929672,3656,0.032171172797334335
0.0725491623033639,3656,0.029825860961846494
0.0824220597536067,3656,0.02813720350852742
0.09377742331446431,3657,0.027559591184062933
0.10692512791440467,3656,0.02397519821179407
0.12220161281923361,3656,0.02451698529289537
0.13956717336601493,3656,0.02251463546652877
0.15982425579577,3657,0.02121127245627771
0.1844188593929575,3656,0.020548289162307096
0.21429655275092707,3656,0.018914244823738456
0.251483395887255,3656,0.01773648216017384
0.2988740988147209,3657,0.016352534248947975
0.36121285167899225,3656,0.01448815218670625
0.44795695782884465,3656,0.014726674793885505
0.5826146652702988,3656,0.01356997513500884
0.833092173156539,3656,0.012149509832424707
